"sim_ID","frag","ac","hab","nb","disp","disp_dist","edge"
327,0.3,0.1,0.15,0.1,1,4,0.9
328,0.4,0.1,0.15,0.1,1,4,0.9
329,0.5,0.1,0.15,0.1,1,4,0.9
330,0.6,0.1,0.15,0.1,1,4,0.9
331,0.7,0.1,0.15,0.1,1,4,0.9
332,0.8,0.1,0.15,0.1,1,4,0.9
333,0.9,0.1,0.15,0.1,1,4,0.9
334,0.1,0.1,0.15,0.1,1,4.5,0.9
335,0.2,0.1,0.15,0.1,1,4.5,0.9
336,0.3,0.1,0.15,0.1,1,4.5,0.9
337,0.4,0.1,0.15,0.1,1,4.5,0.9
338,0.5,0.1,0.15,0.1,1,4.5,0.9
339,0.6,0.1,0.15,0.1,1,4.5,0.9
340,0.7,0.1,0.15,0.1,1,4.5,0.9
341,0.8,0.1,0.15,0.1,1,4.5,0.9
342,0.9,0.1,0.15,0.1,1,4.5,0.9
343,0.1,0.1,0.15,0.1,1,5,0.9
344,0.2,0.1,0.15,0.1,1,5,0.9
345,0.3,0.1,0.15,0.1,1,5,0.9
346,0.4,0.1,0.15,0.1,1,5,0.9
347,0.5,0.1,0.15,0.1,1,5,0.9
348,0.6,0.1,0.15,0.1,1,5,0.9
349,0.7,0.1,0.15,0.1,1,5,0.9
350,0.8,0.1,0.15,0.1,1,5,0.9
351,0.9,0.1,0.15,0.1,1,5,0.9
352,0.1,0.1,0.15,0.1,1,5.5,0.9
353,0.2,0.1,0.15,0.1,1,5.5,0.9
354,0.3,0.1,0.15,0.1,1,5.5,0.9
355,0.4,0.1,0.15,0.1,1,5.5,0.9
356,0.5,0.1,0.15,0.1,1,5.5,0.9
357,0.6,0.1,0.15,0.1,1,5.5,0.9
358,0.7,0.1,0.15,0.1,1,5.5,0.9
359,0.8,0.1,0.15,0.1,1,5.5,0.9
360,0.9,0.1,0.15,0.1,1,5.5,0.9
361,0.1,0.1,0.15,0.1,1,1,1
362,0.2,0.1,0.15,0.1,1,1,1
363,0.3,0.1,0.15,0.1,1,1,1
364,0.4,0.1,0.15,0.1,1,1,1
365,0.5,0.1,0.15,0.1,1,1,1
366,0.6,0.1,0.15,0.1,1,1,1
367,0.7,0.1,0.15,0.1,1,1,1
368,0.8,0.1,0.15,0.1,1,1,1
369,0.9,0.1,0.15,0.1,1,1,1
370,0.1,0.1,0.15,0.1,1,1.5,1
371,0.2,0.1,0.15,0.1,1,1.5,1
372,0.3,0.1,0.15,0.1,1,1.5,1
373,0.4,0.1,0.15,0.1,1,1.5,1
374,0.5,0.1,0.15,0.1,1,1.5,1
375,0.6,0.1,0.15,0.1,1,1.5,1
376,0.7,0.1,0.15,0.1,1,1.5,1
377,0.8,0.1,0.15,0.1,1,1.5,1
378,0.9,0.1,0.15,0.1,1,1.5,1
379,0.1,0.1,0.15,0.1,1,2,1
380,0.2,0.1,0.15,0.1,1,2,1
381,0.3,0.1,0.15,0.1,1,2,1
382,0.4,0.1,0.15,0.1,1,2,1
383,0.5,0.1,0.15,0.1,1,2,1
384,0.6,0.1,0.15,0.1,1,2,1
385,0.7,0.1,0.15,0.1,1,2,1
386,0.8,0.1,0.15,0.1,1,2,1
387,0.9,0.1,0.15,0.1,1,2,1
388,0.1,0.1,0.15,0.1,1,2.5,1
389,0.2,0.1,0.15,0.1,1,2.5,1
390,0.3,0.1,0.15,0.1,1,2.5,1
391,0.4,0.1,0.15,0.1,1,2.5,1
392,0.5,0.1,0.15,0.1,1,2.5,1
393,0.6,0.1,0.15,0.1,1,2.5,1
394,0.7,0.1,0.15,0.1,1,2.5,1
395,0.8,0.1,0.15,0.1,1,2.5,1
396,0.9,0.1,0.15,0.1,1,2.5,1
397,0.1,0.1,0.15,0.1,1,3,1
398,0.2,0.1,0.15,0.1,1,3,1
399,0.3,0.1,0.15,0.1,1,3,1
400,0.4,0.1,0.15,0.1,1,3,1
401,0.5,0.1,0.15,0.1,1,3,1
402,0.6,0.1,0.15,0.1,1,3,1
403,0.7,0.1,0.15,0.1,1,3,1
404,0.8,0.1,0.15,0.1,1,3,1
405,0.9,0.1,0.15,0.1,1,3,1
406,0.1,0.1,0.15,0.1,1,3.5,1
407,0.2,0.1,0.15,0.1,1,3.5,1
408,0.3,0.1,0.15,0.1,1,3.5,1
409,0.4,0.1,0.15,0.1,1,3.5,1
410,0.5,0.1,0.15,0.1,1,3.5,1
411,0.6,0.1,0.15,0.1,1,3.5,1
412,0.7,0.1,0.15,0.1,1,3.5,1
413,0.8,0.1,0.15,0.1,1,3.5,1
414,0.9,0.1,0.15,0.1,1,3.5,1
415,0.1,0.1,0.15,0.1,1,4,1
416,0.2,0.1,0.15,0.1,1,4,1
417,0.3,0.1,0.15,0.1,1,4,1
418,0.4,0.1,0.15,0.1,1,4,1
419,0.5,0.1,0.15,0.1,1,4,1
420,0.6,0.1,0.15,0.1,1,4,1
421,0.7,0.1,0.15,0.1,1,4,1
422,0.8,0.1,0.15,0.1,1,4,1
423,0.9,0.1,0.15,0.1,1,4,1
424,0.1,0.1,0.15,0.1,1,4.5,1
425,0.2,0.1,0.15,0.1,1,4.5,1
426,0.3,0.1,0.15,0.1,1,4.5,1
427,0.4,0.1,0.15,0.1,1,4.5,1
428,0.5,0.1,0.15,0.1,1,4.5,1
429,0.6,0.1,0.15,0.1,1,4.5,1
430,0.7,0.1,0.15,0.1,1,4.5,1
431,0.8,0.1,0.15,0.1,1,4.5,1
432,0.9,0.1,0.15,0.1,1,4.5,1
433,0.1,0.1,0.15,0.1,1,5,1
434,0.2,0.1,0.15,0.1,1,5,1
435,0.3,0.1,0.15,0.1,1,5,1
436,0.4,0.1,0.15,0.1,1,5,1
437,0.5,0.1,0.15,0.1,1,5,1
438,0.6,0.1,0.15,0.1,1,5,1
439,0.7,0.1,0.15,0.1,1,5,1
440,0.8,0.1,0.15,0.1,1,5,1
441,0.9,0.1,0.15,0.1,1,5,1
442,0.1,0.1,0.15,0.1,1,5.5,1
443,0.2,0.1,0.15,0.1,1,5.5,1
444,0.3,0.1,0.15,0.1,1,5.5,1
445,0.4,0.1,0.15,0.1,1,5.5,1
446,0.5,0.1,0.15,0.1,1,5.5,1
447,0.6,0.1,0.15,0.1,1,5.5,1
448,0.7,0.1,0.15,0.1,1,5.5,1
449,0.8,0.1,0.15,0.1,1,5.5,1
450,0.9,0.1,0.15,0.1,1,5.5,1
451,0.1,0.1,0.15,0.1,1,1,1.1
452,0.2,0.1,0.15,0.1,1,1,1.1
453,0.3,0.1,0.15,0.1,1,1,1.1
454,0.4,0.1,0.15,0.1,1,1,1.1
455,0.5,0.1,0.15,0.1,1,1,1.1
456,0.6,0.1,0.15,0.1,1,1,1.1
457,0.7,0.1,0.15,0.1,1,1,1.1
458,0.8,0.1,0.15,0.1,1,1,1.1
459,0.9,0.1,0.15,0.1,1,1,1.1
460,0.1,0.1,0.15,0.1,1,1.5,1.1
461,0.2,0.1,0.15,0.1,1,1.5,1.1
462,0.3,0.1,0.15,0.1,1,1.5,1.1
463,0.4,0.1,0.15,0.1,1,1.5,1.1
464,0.5,0.1,0.15,0.1,1,1.5,1.1
465,0.6,0.1,0.15,0.1,1,1.5,1.1
466,0.7,0.1,0.15,0.1,1,1.5,1.1
467,0.8,0.1,0.15,0.1,1,1.5,1.1
468,0.9,0.1,0.15,0.1,1,1.5,1.1
469,0.1,0.1,0.15,0.1,1,2,1.1
470,0.2,0.1,0.15,0.1,1,2,1.1
471,0.3,0.1,0.15,0.1,1,2,1.1
472,0.4,0.1,0.15,0.1,1,2,1.1
473,0.5,0.1,0.15,0.1,1,2,1.1
474,0.6,0.1,0.15,0.1,1,2,1.1
475,0.7,0.1,0.15,0.1,1,2,1.1
476,0.8,0.1,0.15,0.1,1,2,1.1
477,0.9,0.1,0.15,0.1,1,2,1.1
478,0.1,0.1,0.15,0.1,1,2.5,1.1
479,0.2,0.1,0.15,0.1,1,2.5,1.1
480,0.3,0.1,0.15,0.1,1,2.5,1.1
481,0.4,0.1,0.15,0.1,1,2.5,1.1
482,0.5,0.1,0.15,0.1,1,2.5,1.1
483,0.6,0.1,0.15,0.1,1,2.5,1.1
484,0.7,0.1,0.15,0.1,1,2.5,1.1
485,0.8,0.1,0.15,0.1,1,2.5,1.1
486,0.9,0.1,0.15,0.1,1,2.5,1.1
487,0.1,0.1,0.15,0.1,1,3,1.1
488,0.2,0.1,0.15,0.1,1,3,1.1
489,0.3,0.1,0.15,0.1,1,3,1.1
490,0.4,0.1,0.15,0.1,1,3,1.1
491,0.5,0.1,0.15,0.1,1,3,1.1
492,0.6,0.1,0.15,0.1,1,3,1.1
493,0.7,0.1,0.15,0.1,1,3,1.1
494,0.8,0.1,0.15,0.1,1,3,1.1
495,0.9,0.1,0.15,0.1,1,3,1.1
496,0.1,0.1,0.15,0.1,1,3.5,1.1
497,0.2,0.1,0.15,0.1,1,3.5,1.1
498,0.3,0.1,0.15,0.1,1,3.5,1.1
499,0.4,0.1,0.15,0.1,1,3.5,1.1
500,0.5,0.1,0.15,0.1,1,3.5,1.1
501,0.6,0.1,0.15,0.1,1,3.5,1.1
502,0.7,0.1,0.15,0.1,1,3.5,1.1
503,0.8,0.1,0.15,0.1,1,3.5,1.1
504,0.9,0.1,0.15,0.1,1,3.5,1.1
505,0.1,0.1,0.15,0.1,1,4,1.1
506,0.2,0.1,0.15,0.1,1,4,1.1
507,0.3,0.1,0.15,0.1,1,4,1.1
508,0.4,0.1,0.15,0.1,1,4,1.1
509,0.5,0.1,0.15,0.1,1,4,1.1
510,0.6,0.1,0.15,0.1,1,4,1.1
511,0.7,0.1,0.15,0.1,1,4,1.1
512,0.8,0.1,0.15,0.1,1,4,1.1
513,0.9,0.1,0.15,0.1,1,4,1.1
514,0.1,0.1,0.15,0.1,1,4.5,1.1
515,0.2,0.1,0.15,0.1,1,4.5,1.1
516,0.3,0.1,0.15,0.1,1,4.5,1.1
517,0.4,0.1,0.15,0.1,1,4.5,1.1
518,0.5,0.1,0.15,0.1,1,4.5,1.1
519,0.6,0.1,0.15,0.1,1,4.5,1.1
